close,high,low,open,time,volume
2.1496,2.1496,2.144,2.1453,1749812400,78538
2.1448,2.1469,2.1388,2.1389,1749812100,147708
2.1385,2.1385,2.1335,2.1352,1749811800,21684
2.1342,2.1385,2.1342,2.136,1749811500,39481
2.1356,2.1376,2.1334,2.1346,1749811200,80308
2.1345,2.1347,2.1299,2.1299,1749810900,25929
2.1293,2.1299,2.1232,2.128,1749810600,30231
2.1285,2.1292,2.126,2.1272,1749810300,36506
2.1268,2.1296,2.1255,2.1295,1749810000,72083
2.1291,2.1319,2.127,2.1319,1749809700,8696
2.1319,2.1326,2.1283,2.13,1749809400,27432
2.13,2.13,2.1227,2.1258,1749809100,55725
2.126,2.1343,2.1258,2.133,1749808800,27143
2.131,2.135,2.1277,2.1278,1749808500,65038
2.1274,2.1274,2.1241,2.1259,1749808200,48339
2.1259,2.1303,2.1238,2.1293,1749807900,42597
2.129,2.1337,2.128,2.1312,1749807600,16013
2.1301,2.1306,2.126,2.1282,1749807300,55622
2.1284,2.1342,2.1276,2.1326,1749807000,24036
2.133,2.1335,2.1271,2.1302,1749806700,54549
2.131,2.1345,2.1272,2.1328,1749806400,39577
2.1318,2.1351,2.13,2.1343,1749806100,28013
2.134,2.1383,2.1291,2.1364,1749805800,57220
2.1368,2.1398,2.1336,2.1343,1749805500,27936
2.1352,2.138,2.1326,2.1351,1749805200,33420
2.1348,2.138,2.1333,2.1347,1749804900,46265
2.1341,2.1385,2.1332,2.1385,1749804600,74226
2.1388,2.1396,2.1309,2.1385,1749804300,106325
2.1387,2.1463,2.1366,2.1451,1749804000,110297
2.1452,2.1548,2.1449,2.1541,1749803700,47807
2.1541,2.1548,2.1466,2.1467,1749803400,68089
2.1474,2.1501,2.1432,2.148,1749803100,46405
2.148,2.1483,2.1418,2.1483,1749802800,65462
2.1484,2.1521,2.1455,2.1521,1749802500,76507
2.1521,2.1527,2.1373,2.1375,1749802200,148525
2.1373,2.1375,2.1291,2.1291,1749801900,149317
2.1302,2.1302,2.1261,2.1285,1749801600,46122
2.1285,2.1305,2.1258,2.1275,1749801300,104582
2.1275,2.1295,2.1212,2.1215,1749801000,48832
2.1213,2.1267,2.1213,2.125,1749800700,40693
2.1249,2.1259,2.1214,2.1229,1749800400,18029
2.1224,2.1251,2.1202,2.1225,1749800100,38164
2.1221,2.1272,2.1219,2.1222,1749799800,117445
2.122,2.1223,2.1176,2.1185,1749799500,114786
2.1187,2.1187,2.1136,2.1146,1749799200,28840
2.1143,2.1162,2.11,2.1107,1749798900,34884
2.1107,2.1148,2.1084,2.1138,1749798600,26644
2.1132,2.1179,2.108,2.1108,1749798300,46604
2.111,2.118,2.111,2.118,1749798000,88332
2.118,2.118,2.1088,2.1105,1749797700,90335
2.1104,2.1135,2.1052,2.1054,1749797400,136797
2.1049,2.1051,2.092,2.0984,1749797100,56116
2.0983,2.0992,2.0932,2.0953,1749796800,29117
2.0958,2.1001,2.0927,2.0986,1749796500,31567
2.0988,2.1,2.0924,2.0926,1749796200,28592
2.0924,2.0967,2.0917,2.0933,1749795900,85313
2.0926,2.0974,2.0921,2.0967,1749795600,101784
2.0969,2.1071,2.0931,2.1071,1749795300,108029
2.107,2.1147,2.1058,2.1133,1749795000,40190
2.1126,2.1143,2.1061,2.1141,1749794700,65711
2.1137,2.1154,2.1102,2.1115,1749794400,15133
2.1118,2.1153,2.1116,2.115,1749794100,7725
2.114,2.116,2.1118,2.1157,1749793800,15616
2.1158,2.117,2.1128,2.1144,1749793500,20981
2.1142,2.1161,2.1136,2.1136,1749793200,15627
2.1144,2.1175,2.1134,2.1164,1749792900,37376
2.1175,2.1189,2.1152,2.1181,1749792600,23599
2.1185,2.1228,2.1182,2.1222,1749792300,6348
2.1221,2.123,2.1185,2.1194,1749792000,73913
2.1194,2.1211,2.1152,2.1162,1749791700,27306
2.1175,2.1225,2.1165,2.121,1749791400,18218
2.1212,2.1239,2.1198,2.1217,1749791100,37895
2.1213,2.1216,2.1169,2.1216,1749790800,24304
2.1219,2.1243,2.1214,2.1233,1749790500,19642
2.1233,2.1236,2.119,2.1195,1749790200,33252
2.1196,2.1214,2.1166,2.1214,1749789900,32424
