,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,rsi_buy,rsi_sell,gaizy_color,GreenArrow,RedArrow
1970-01-01 00:00:00.000000569,1748861100,2893,2025-06-02 10:45:00,2481.4625,2482.2505745488634,2483.55,2480.0,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000570,1748862000,7486,2025-06-02 11:00:00,2482.9875,2481.8565372744315,2486.7,2477.25,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000571,1748862900,3667,2025-06-02 11:15:00,2483.7374999999997,2482.422018637216,2485.6,2481.95,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000572,1748863800,9122,2025-06-02 11:30:00,2479.9874999999997,2483.079759318608,2485.2,2476.25,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000573,1748864700,4697,2025-06-02 11:45:00,2478.3375,2481.533629659304,2482.1,2474.45,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000574,1748865600,6382,2025-06-02 12:00:00,2481.3125,2479.9355648296523,2483.95,2477.6,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000575,1748866500,3838,2025-06-02 12:15:00,2481.25,2480.624032414826,2483.25,2477.3,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000576,1748867400,23586,2025-06-02 12:30:00,2488.3,2480.937016207413,2496.2,2480.937016207413,0,0,False,False,black,True,False
1970-01-01 00:00:00.000000577,1748868300,7640,2025-06-02 12:45:00,2493.675,2484.6185081037065,2496.8,2484.6185081037065,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000578,1748869200,17378,2025-06-02 13:00:00,2493.6000000000004,2489.1467540518533,2498.1,2487.35,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000579,1748870100,12380,2025-06-02 13:15:00,2495.1124999999997,2491.373377025927,2501.6,2486.9,1,0,False,False,green,False,False
1970-01-01 00:00:00.000000580,1748871000,30065,2025-06-02 13:30:00,2506.8875,2493.2429385129635,2518.75,2493.2429385129635,0,0,False,False,green,True,False
1970-01-01 00:00:00.000000581,1748871900,18776,2025-06-02 13:45:00,2505.2000000000003,2500.0652192564817,2511.55,2495.05,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000582,1748872800,26245,2025-06-02 14:00:00,2506.1375,2502.632609628241,2515.1,2495.1,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000583,1748873700,45909,2025-06-02 14:15:00,2523.2749999999996,2504.3850548141204,2539.55,2504.3850548141204,0,0,False,False,green,True,False
1970-01-01 00:00:00.000000584,1748874600,11250,2025-06-02 14:30:00,2528.1875,2513.83002740706,2536.15,2513.83002740706,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000585,1748875500,19748,2025-06-02 14:45:00,2525.475,2521.00876370353,2530.65,2517.65,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000586,1748876400,19038,2025-06-02 15:00:00,2530.925,2523.241881851765,2536.45,2522.0,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000587,1748877300,47406,2025-06-02 15:15:00,2539.3875,2527.0834409258823,2555.4,2527.0834409258823,0,0,False,False,green,False,False
1970-01-01 00:00:00.000000588,1748878200,16976,2025-06-02 15:30:00,2537.75,2533.235470462941,2541.7,2532.45,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000589,1748879100,10525,2025-06-02 15:45:00,2541.075,2535.4927352314708,2546.5,2535.4927352314708,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000590,1748880000,10734,2025-06-02 16:00:00,2539.9625,2538.2838676157353,2544.5,2536.05,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000591,1748880900,11782,2025-06-02 16:15:00,2534.8875,2539.1231838078675,2540.7,2528.75,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000592,1748881800,9855,2025-06-02 16:30:00,2535.125,2537.0053419039336,2540.45,2531.25,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000593,1748882700,25258,2025-06-02 16:45:00,2542.8500000000004,2536.065170951967,2552.85,2535.55,0,0,False,False,black,True,False
1970-01-01 00:00:00.000000594,1748883600,13115,2025-06-02 17:00:00,2543.5249999999996,2539.4575854759837,2550.9,2538.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000595,1748884500,14149,2025-06-02 17:15:00,2542.8375,2541.491292737992,2551.4,2537.6,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000596,1748885400,9489,2025-06-02 17:30:00,2542.5625,2542.1643963689958,2546.6,2537.7,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000597,1748886300,8300,2025-06-02 17:45:00,2545.0875,2542.363448184498,2550.4,2539.4,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000598,1748887200,6236,2025-06-02 18:00:00,2549.425,2543.725474092249,2552.2,2543.725474092249,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000599,1748888100,29367,2025-06-02 18:15:00,2555.2124999999996,2546.5752370461246,2563.0,2546.5752370461246,0,0,False,False,black,True,False
1970-01-01 00:00:00.000000600,1748889000,13292,2025-06-02 18:30:00,2549.8875,2550.8938685230623,2555.3,2544.4,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000601,1748889900,5972,2025-06-02 18:45:00,2542.125,2550.390684261531,2550.390684261531,2536.7,0,0,False,True,black,False,True
1970-01-01 00:00:00.000000602,1748890800,7967,2025-06-02 19:00:00,2539.6875,2546.2578421307653,2547.6,2533.6,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000603,1748891700,5451,2025-06-02 19:15:00,2536.2375,2542.9726710653827,2542.9726710653827,2533.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000604,1748892600,14305,2025-06-02 19:30:00,2531.1375,2539.605085532691,2539.605085532691,2523.6,0,1,False,False,black,False,False
1970-01-01 00:00:00.000000605,1748893500,16292,2025-06-02 19:45:00,2529.4625,2535.3712927663455,2535.3712927663455,2526.05,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000606,1748894400,14108,2025-06-02 20:00:00,2539.0375,2532.4168963831726,2545.25,2532.4168963831726,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000607,1748895300,4236,2025-06-02 20:15:00,2542.5874999999996,2535.7271981915865,2547.15,2535.7271981915865,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000608,1748896200,150,2025-06-02 20:30:00,2538.725,2539.157349095793,2539.75,2537.7,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000609,1748897100,7382,2025-06-02 20:45:00,2537.1125,2538.9411745478965,2539.25,2534.8,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000610,1748898000,2004,2025-06-02 21:00:00,2542.3374999999996,2538.0268372739483,2546.45,2538.0268372739483,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000611,1748898900,2170,2025-06-02 21:15:00,2543.6125,2540.182168636974,2545.3,2539.35,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000612,1748899800,5139,2025-06-02 21:30:00,2548.625,2541.897334318487,2553.05,2541.897334318487,0,0,False,False,black,True,False
1970-01-01 00:00:00.000000613,1748900700,3368,2025-06-02 21:45:00,2554.75,2545.2611671592435,2559.65,2545.2611671592435,1,0,False,False,black,False,False
1970-01-01 00:00:00.000000614,1748901600,9454,2025-06-02 22:00:00,2566.2625,2550.005583579622,2574.35,2550.005583579622,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000615,1748902500,4540,2025-06-02 22:15:00,2571.2,2558.134041789811,2571.95,2558.134041789811,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000616,1748903400,552,2025-06-02 22:30:00,2571.8,2564.6670208949054,2572.8,2564.6670208949054,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000617,1748904300,1669,2025-06-02 22:45:00,2571.225,2568.2335104474528,2572.8,2568.2335104474528,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000618,1748905200,5807,2025-06-02 23:00:00,2571.8625,2569.7292552237263,2574.05,2569.7292552237263,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000619,1748906100,3073,2025-06-02 23:15:00,2572.0125,2570.795877611863,2574.05,2569.65,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000620,1748907000,2415,2025-06-02 23:30:00,2572.95,2571.4041888059314,2574.05,2569.65,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000621,1748907900,2694,2025-06-02 23:45:00,2571.7875,2572.177094402966,2575.7,2568.7,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000622,1748908800,1753,2025-06-03 00:00:00,2572.2,2571.9822972014827,2575.7,2568.7,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000623,1748909700,2261,2025-06-03 00:15:00,2572.2,2572.0911486007412,2575.7,2568.7,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000624,1748910600,2502,2025-06-03 00:30:00,2572.2,2572.1455743003708,2575.7,2568.7,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000625,1748911500,5274,2025-06-03 00:45:00,2574.625,2572.1727871501853,2577.65,2567.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000626,1748912400,5980,2025-06-03 01:00:00,2572.575,2573.3988935750926,2577.65,2567.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000627,1748913300,2261,2025-06-03 01:15:00,2573.3250000000003,2572.986946787546,2579.85,2566.1,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000628,1748914200,8776,2025-06-03 01:30:00,2575.9,2573.155973393773,2579.85,2564.05,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000629,1748915100,7469,2025-06-03 01:45:00,2568.5875,2574.5279866968867,2582.2,2564.05,0,0,False,True,black,False,False
1970-01-01 00:00:00.000000630,1748916000,10545,2025-06-03 02:00:00,2573.4125,2571.557743348443,2584.6,2560.4,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000631,1748916900,7128,2025-06-03 02:15:00,2578.2375,2572.485121674222,2584.6,2559.15,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000632,1748917800,4221,2025-06-03 02:30:00,2573.075,2575.361310837111,2587.0,2559.15,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000633,1748918700,5222,2025-06-03 02:45:00,2578.2125,2574.2181554185554,2587.0,2557.5,0,0,False,False,black,False,False
1970-01-01 00:00:00.000000634,1748919600,7119,2025-06-03 03:00:00,2564.15,2576.2153277092775,2587.0,2556.05,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000635,1748920500,4933,2025-06-03 03:15:00,2571.475,2570.182663854639,2589.2,2554.85,0,0,False,False,red,False,False
1970-01-01 00:00:00.000000636,1748921400,13293,2025-06-03 03:30:00,2563.4624999999996,2570.8288319273197,2591.1,2553.95,0,0,False,False,red,False,False
