,Close,High,Low,Open,time,Volume,Timestamp,RSI,RSI_Smoothed,RSI_Momentum,Signal_Color,Long_Signal,Short_Signal,IsIB,BoxHigh,BoxLow,GreenArrow,RedArrow,BarColor,RF_UpperBand,RF_LowerBand,RF_Filter,RF_Trend,RF_BuySignal,RF_SellSignal
1970-01-01 00:00:00.000001200,102784.0,102894.9,102784.0,102843.4,1747479600,1022,2025-05-17 11:00:00,42.118696181669904,36.15683560137442,5.961860580295486,WEAK_BULL,0,0,False,,,False,False,,102953.41946581806,102717.15730339046,102835.28838460427,-1.0,0,0
1970-01-01 00:00:00.000001199,102832.4,102832.4,102801.1,102814.7,1747479300,1091,2025-05-17 10:55:00,49.45966963737259,42.808252619373505,6.651417017999087,WEAK_BULL,0,0,True,102894.9,102784.0,False,False,orange,102953.41946581806,102717.15730339046,102835.28838460427,-1.0,0,0
1970-01-01 00:00:00.000001198,102814.7,102906.6,102814.7,102838.1,1747479000,1377,2025-05-17 10:50:00,47.035693737865316,44.92197317861941,2.1137205592459054,WEAK_BULL,0,0,False,,,False,False,,102953.41946581806,102717.15730339046,102835.28838460427,-1.0,0,0
1970-01-01 00:00:00.000001197,102820.0,102851.8,102781.1,102790.1,1747478700,833,2025-05-17 10:45:00,47.88545346249039,46.4037133205549,1.4817401419354894,WEAK_BULL,0,0,False,,,False,False,,102953.41946581806,102717.15730339046,102835.28838460427,-1.0,0,0
1970-01-01 00:00:00.000001196,102793.4,102828.1,102776.0,102800.7,1747478400,1450,2025-05-17 10:40:00,43.95299132278858,45.17835232167174,-1.2253609988831613,STRONG_BEAR,0,0,True,102851.8,102781.1,False,False,orange,102953.41946581806,102717.15730339046,102835.28838460427,-1.0,0,0
1970-01-01 00:00:00.000001195,102815.5,102943.3,102793.2,102943.3,1747478100,1774,2025-05-17 10:35:00,47.902524381614334,46.54043835164303,1.3620860299712945,WEAK_BULL,0,0,False,,,False,False,,102953.41946581806,102717.15730339046,102835.28838460427,-1.0,0,0
1970-01-01 00:00:00.000001194,102940.4,102969.8,102896.0,102938.4,1747477800,879,2025-05-17 10:30:00,63.88409535432793,55.21226685298548,8.671828501342446,STRONG_BULL,0,0,True,102943.3,102793.2,False,False,orange,102944.73982193935,102726.74869833383,102835.74426013659,1.0,1,0
1970-01-01 00:00:00.000001193,102959.9,102985.8,102951.2,102968.5,1747477500,1205,2025-05-17 10:25:00,65.7088899869016,60.46057841994354,5.2483115669580584,STRONG_BULL,0,0,True,102943.3,102793.2,False,False,orange,102954.84660731311,102743.19818183378,102849.02239457345,1.0,0,0
1970-01-01 00:00:00.000001192,102981.6,102981.6,102886.0,102888.0,1747477200,1503,2025-05-17 10:20:00,67.72521906539747,64.0928987426705,3.6323203227269616,STRONG_BULL,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001191,102890.0,102984.0,102890.0,102951.7,1747476900,879,2025-05-17 10:15:00,53.085070110921215,58.58898442679586,-5.503914315874638,WEAK_BEAR,0,0,True,102981.6,102886.0,False,False,orange,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001190,102959.3,102985.0,102927.1,102927.1,1747476600,1602,2025-05-17 10:10:00,60.29927912912114,59.4441317779585,0.8551473511626426,STRONG_BULL,0,0,True,102981.6,102886.0,False,False,orange,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001189,102920.3,102934.4,102840.4,102869.3,1747476300,1802,2025-05-17 10:05:00,55.00987032731635,57.227001052637426,-2.217130725321077,WEAK_BEAR,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
1970-01-01 00:00:00.000001188,102869.4,102869.4,102788.6,102835.5,1747476000,1139,2025-05-17 10:00:00,48.80199159002262,53.01449632133002,-4.212504731307405,WEAK_BEAR,0,0,False,,,False,False,,102972.6822024377,102763.95335235712,102868.3177773974,1.0,0,0
