,time,volume,Timestamp,close,open,high,low,RF_BuySignal,RF_SellSignal,atr,GreenArrow,RedArrow,BarIndex,Signal_Final
1970-01-01 00:00:00.000001505,1749816600,84371,2025-06-13 12:10:00,2552.425,2548.7463841198896,2556.95,2548.7463841198896,0,0,10.037559874308402,False,False,2.0,0
1970-01-01 00:00:00.000001506,1749816900,121671,2025-06-13 12:15:00,2550.1,2550.585692059945,2556.0,2545.5,0,0,10.193182026933366,False,False,3.0,0
1970-01-01 00:00:00.000001507,1749817200,61896,2025-06-13 12:20:00,2549.9125,2550.3428460299724,2553.75,2546.65,0,0,9.832467741219066,False,False,4.0,0
1970-01-01 00:00:00.000001508,1749817500,37548,2025-06-13 12:25:00,2552.225,2550.127673014986,2554.95,2549.6,0,0,9.586419345919953,False,False,5.0,0
1970-01-01 00:00:00.000001509,1749817800,196671,2025-06-13 12:30:00,2555.275,2551.176336507493,2562.85,2550.85,0,0,10.055359433984677,False,False,6.0,0
1970-01-01 00:00:00.000001510,1749818100,122554,2025-06-13 12:35:00,2551.9875,2553.2256682537463,2557.55,2547.0,0,0,10.314383049445626,False,False,7.0,0
1970-01-01 00:00:00.000001511,1749818400,92218,2025-06-13 12:40:00,2547.625,2552.6065841268733,2552.6065841268733,2544.5,0,0,10.268424772793717,False,False,8.0,0
1970-01-01 00:00:00.000001512,1749818700,93757,2025-06-13 12:45:00,2546.1875,2550.115792063437,2550.115792063437,2542.65,0,0,10.333838491610615,False,False,9.0,0
1970-01-01 00:00:00.000001513,1749819000,90173,2025-06-13 12:50:00,2544.1875,2548.1516460317184,2549.25,2538.15,0,0,10.479808753963718,False,False,10.0,0
1970-01-01 00:00:00.000001514,1749819300,107987,2025-06-13 12:55:00,2540.4750000000004,2546.169573015859,2546.169573015859,2536.0,0,0,10.764013386273064,False,False,11.0,0
1970-01-01 00:00:00.000001515,1749819600,78781,2025-06-13 13:00:00,2539.9625,2543.3222865079297,2543.3222865079297,2536.5,0,1,10.308462422553768,False,False,12.0,0
1970-01-01 00:00:00.000001516,1749819900,92658,2025-06-13 13:05:00,2538.05,2541.6423932539647,2541.6423932539647,2534.0,0,0,10.019245723488243,False,False,13.0,0
1970-01-01 00:00:00.000001517,1749820200,65823,2025-06-13 13:10:00,2539.7749999999996,2539.8461966269824,2542.85,2537.4,0,0,8.95035547202815,False,False,14.0,0
1970-01-01 00:00:00.000001518,1749820500,112335,2025-06-13 13:15:00,2541.675,2539.810598313491,2547.2,2537.5,0,0,8.582874632012363,False,False,15.0,0
1970-01-01 00:00:00.000001519,1749820800,48279,2025-06-13 13:20:00,2540.65,2540.7427991567456,2543.3,2538.6,0,0,8.332616354861655,False,False,16.0,0
1970-01-01 00:00:00.000001520,1749821100,78794,2025-06-13 13:25:00,2543.0375,2540.6963995783726,2548.15,2540.0,0,0,8.164759212004517,False,False,17.0,0
1970-01-01 00:00:00.000001521,1749821400,168386,2025-06-13 13:30:00,2546.5375,2541.866949789186,2552.05,2541.65,0,0,8.400473497718817,False,False,18.0,0
